dimension	level	transcripts	usable	usable_fraction	mean_fitted_probability
exon_count	82	3	0	0.0	0.016793089628551437
exon_count	83	7	1	0.14285714285714285	0.18917092692981233
exon_count	84	6	1	0.16666666666666666	0.08388144625380684
exon_count	85	3	1	0.3333333333333333	0.11011875587265907
exon_count	86	4	1	0.25	0.16654023876756102
exon_count	89	2	0	0.0	0.09711064949395473
exon_count	90	3	0	0.0	0.040033030305862034
exon_count	91	3	0	0.0	0.00874284080785969
exon_count	93	4	0	0.0	0.20308402209389423
exon_count	94	1	0	0.0	0.00911931306697694
exon_count	95	1	0	0.0	0.04586925091641791
exon_count	97	3	1	0.3333333333333333	0.31099744669321566
exon_count	98	2	0	0.0	0.025558657502844414
exon_count	101	2	0	0.0	0.010021910491105856
exon_count	102	4	0	0.0	0.12188439723257363
exon_count	103	2	0	0.0	0.026603399996593006
exon_count	104	3	0	0.0	0.07331050628078463
exon_count	105	4	0	0.0	0.12559427480617563
exon_count	106	2	1	0.5	0.47387641637658434
exon_count	107	2	0	0.0	0.11292904876327942
exon_count	115	3	0	0.0	0.052996106080357014
exon_count	116	3	0	0.0	0.023034100708408032
exon_count	118	1	0	0.0	0.4083771015531603
exon_count	138	2	0	0.0	0.021239433530709773
exon_count	146	2	0	0.0	0.007139865593920594
exon_count	148	1	0	0.0	0.008269820681868476
exon_count	149	1	0	0.0	0.0075907580800570335
exon_count	150	1	0	0.0	0.0076333345147215894
exon_count	172	1	0	0.0	0.014681866340109484
exon_count	180	2	0	0.0	0.008492829269847223
exon_count	182	2	0	0.0	0.009938584206339699
exon_count	183	1	0	0.0	0.006306747476558462
exon_count	191	3	0	0.0	3.1745771272913234e-05
exon_count	312	2	0	0.0	1.1506000632810523e-05
exon_count	313	1	0	0.0	1.0147098038612972e-05
exon_count	363	1	0	0.0	9.774977605545928e-06
illumina_detection_fraction	0.0	143252	12542	0.08755200625471198	0.09254354554669643
illumina_detection_fraction	0.3333333333333333	11894	3841	0.3229359340844123	0.22923984473112907
illumina_detection_fraction	0.6666666666666666	9733	3567	0.36648515360115075	0.3750631603765892
illumina_detection_fraction	1.0	33690	15345	0.45547640249332144	0.46485120625679993
directRNA_detection_fraction	0.0	164774	24657	0.14964132690837145	0.15095110173529483
directRNA_detection_fraction	0.25	12539	3030	0.24164606427944813	0.22201333684246424
directRNA_detection_fraction	0.5	5823	1668	0.2864502833590932	0.2730946483505637
directRNA_detection_fraction	0.75	4541	1431	0.3151288262497247	0.32187677182218033
directRNA_detection_fraction	1.0	10892	4509	0.413973558575101	0.4210832677593973
