runname	mix	protocol	method	quantity	n_truth	n_rows_observed	n_positive	observed_fraction	positive_fraction	rank_spearman	median_abs_log10_relative_error	median_signed_log10_relative_error	truth_source	missing_sparse_rows_are_not_zero
allSpikinReadsCombined_sequinMixAV2_Illumina	sequinMixAV2	Illumina	salmon_sr	normEst	337	332	154	0.9851632047477745	0.456973293768546	-0.02345695594274104	1.6511071971598028	0.8087596832939734	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_PacBio	sequinMixAV2	PacBio	salmon_lr	estimates	337	332	144	0.9851632047477745	0.42729970326409494	-0.08916930130826843	1.542625594539957	0.5843816758445953	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_PacBio	sequinMixAV2	PacBio	salmon_lr	normEst	337	332	144	0.9851632047477745	0.42729970326409494	-0.08916930130826843	1.5426255945399572	0.5843816758445947	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_cDNA	sequinMixAV2	cDNA	NanoCount_lr	estimates	337	140	140	0.41543026706231456	0.41543026706231456	0.07335227026390137	1.5836100122511334	1.1906930867609957	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_cDNA	sequinMixAV2	cDNA	NanoCount_lr	normEst	337	140	140	0.41543026706231456	0.41543026706231456	0.07335227026390137	1.5836100122511327	1.190693086760995	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_cDNA	sequinMixAV2	cDNA	salmon_lr	estimates	337	332	153	0.9851632047477745	0.4540059347181009	0.013372579791896735	1.5984868953472884	1.0287444044199547	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_cDNA	sequinMixAV2	cDNA	salmon_lr	normEst	337	332	153	0.9851632047477745	0.4540059347181009	0.013372579791896735	1.5984868953472886	1.0287444044199532	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_cDNA_sorted	sequinMixAV2_cDNA	cDNA	bambu_lr	estimates	337	335	144	0.9940652818991098	0.42729970326409494	0.0860026925955359	1.583953905791349	1.181000731940632	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_cDNA_sorted	sequinMixAV2_cDNA	cDNA	bambu_lr	normEst	337	335	144	0.9940652818991098	0.42729970326409494	0.0860026925955359	1.5839539057913494	1.1810007319406317	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_directRNA	sequinMixAV2	directRNA	NanoCount_lr	estimates	337	61	61	0.18100890207715134	0.18100890207715134	-0.059343051974304825	1.9128210147957916	1.9092168897183892	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_directRNA	sequinMixAV2	directRNA	NanoCount_lr	normEst	337	61	61	0.18100890207715134	0.18100890207715134	-0.059343051974304825	1.9128210147957918	1.909216889718389	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
